endpoint,method,category,verdict_eligible_q,BA_values_at_eligible_q,adjacent_q_deltas,ci_half_widths_model_clustered,n_eligible_q
acceptable_floor_choice,degree1_ridge,monotone,"[8, 12, 16, 20]","[0.7068152192262331, 0.7469300200755646, 0.778190326963841, 0.8043498444396813]","[0.0401148008493315, 0.03126030688827641, 0.02615951747584022]","[0.02135060076207984, 0.021023351498255183, 0.020758533789699662, 0.02081433498896862]",4
acceptable_floor_choice,degree2_ridge,insufficient_q_for_classification,[20],[0.7954098808320007],[],[0.03225223971761759],1
acceptable_floor_choice,hamming_kernel,monotone,"[4, 6, 8, 12, 16, 20]","[0.5912776135548465, 0.5937741925769632, 0.6034746092582524, 0.622403799803222, 0.6407360937773146, 0.6635802650963354]","[0.0024965790221166406, 0.009700416681289181, 0.018929190544969665, 0.01833229397409253, 0.022844171319020834]","[0.008198227861864082, 0.009328254022620386, 0.011391827578227876, 0.016656367143354722, 0.023265117198373264, 0.0292032155184504]",6
acceptable_floor_choice,majority,flat,"[4, 6, 8, 12, 16, 20]","[0.5058218181818182, 0.5110210642135643, 0.5148974350649351, 0.5250860497835499, 0.5382125072150072, 0.5580477453102453]","[0.005199246031746152, 0.003876370851370825, 0.010188614718614764, 0.01312645743145735, 0.019835238095238017]","[0.0035161461038961117, 0.005498646194083745, 0.007062724837662293, 0.009888752164502135, 0.012450143533549785, 0.01467841125541125]",6
acceptable_floor_choice,random_score,flat,"[4, 6, 8, 12, 16, 20]","[0.4998267169500544, 0.5008051259889947, 0.500034479014392, 0.500260885345887, 0.5006068002783952, 0.5008751675926185]","[0.0009784090389403644, -0.0007706469746027178, 0.00022640633149495493, 0.00034591493250824, 0.0002683673142233056]","[0.0010791855190995792, 0.001177762949044564, 0.0008055368271623342, 0.000848060544069662, 0.0008486152986823259, 0.0013114879327751627]",6
below_floor,degree1_ridge,insufficient_q_for_classification,[],[],[],[],0
below_floor,degree2_ridge,insufficient_q_for_classification,[],[],[],[],0
below_floor,hamming_kernel,insufficient_q_for_classification,[],[],[],[],0
below_floor,majority,insufficient_q_for_classification,[],[],[],[],0
below_floor,query_only,insufficient_q_for_classification,[],[],[],[],0
below_floor,random_alert,insufficient_q_for_classification,[],[],[],[],0
clean_harmful_undertriage,degree1_ridge,insufficient_q_for_classification,[],[],[],[],0
clean_harmful_undertriage,degree2_ridge,insufficient_q_for_classification,[],[],[],[],0
clean_harmful_undertriage,hamming_kernel,insufficient_q_for_classification,[],[],[],[],0
clean_harmful_undertriage,majority,insufficient_q_for_classification,[],[],[],[],0
clean_harmful_undertriage,query_only,insufficient_q_for_classification,[],[],[],[],0
clean_harmful_undertriage,random_alert,insufficient_q_for_classification,[],[],[],[],0
floor_vs_ceiling_within_range_only,degree1_ridge,monotone,"[8, 12, 16, 20]","[0.7109470560666895, 0.7476256565903474, 0.7770811936835561, 0.8017332208758503]","[0.0366786005236579, 0.029455537093208695, 0.0246520271922942]","[0.027049356873322106, 0.031070808201450306, 0.03196422372330904, 0.03386413013867945]",4
floor_vs_ceiling_within_range_only,degree2_ridge,insufficient_q_for_classification,[20],[0.7848149803953263],[],[0.043108428831786616],1
floor_vs_ceiling_within_range_only,hamming_kernel,monotone,"[4, 6, 8, 12, 16, 20]","[0.5912603087437689, 0.5942901828175543, 0.6053936735045371, 0.6225978030778939, 0.6413829450347632, 0.6624358153323199]","[0.00302987407378541, 0.011103490686982798, 0.01720412957335682, 0.01878514195686931, 0.021052870297556647]","[0.010882463149850197, 0.012446079706230684, 0.01584906347905274, 0.022323417399865264, 0.030348300172539033, 0.03943107857787048]",6
floor_vs_ceiling_within_range_only,majority,flat,"[4, 6, 8, 12, 16, 20]","[0.5040372889610389, 0.5078539718614719, 0.5112769101731601, 0.5200445508658009, 0.5315416937229438, 0.5487356872294372]","[0.0038166829004329106, 0.003422938311688273, 0.008767640692640799, 0.011497142857142872, 0.01719399350649342]","[0.0025674076704544913, 0.004054685606060537, 0.005428044304653601, 0.008392511498917843, 0.011891631493506527, 0.01617410247564932]",6
floor_vs_ceiling_within_range_only,random_score,flat,"[4, 6, 8, 12, 16, 20]","[0.4991011334114386, 0.4999470412776133, 0.498885462810631, 0.4993761343186332, 0.500733318835911, 0.4998443726344302]","[0.0008459078661747221, -0.0010615784669822936, 0.0004906715080021939, 0.0013571845172777874, -0.0008889462014807781]","[0.001093067560928418, 0.0013086002945720543, 0.0011963796714039299, 0.0014337956535535046, 0.001538396223116606, 0.0013775665429661965]",6
outside_range,degree1_ridge,insufficient_q_for_classification,[],[],[],[],0
outside_range,degree2_ridge,insufficient_q_for_classification,[],[],[],[],0
outside_range,hamming_kernel,insufficient_q_for_classification,[],[],[],[],0
outside_range,majority,insufficient_q_for_classification,[],[],[],[],0
outside_range,query_only,insufficient_q_for_classification,[],[],[],[],0
outside_range,random_alert,insufficient_q_for_classification,[],[],[],[],0
