stratum,n_models,n_surfaces,n_unique_cells,n_split_cell_observations,n_hidden_cells,n_splits,n_positive,n_negative,hidden_BA_degree1,hidden_BA_degree2,hidden_BA_hamming_kernel,majority_BA,random_score_BA,lift_vs_majority,lift_vs_majority_ci_low,lift_vs_majority_ci_high,lift_vs_random_score,lift_vs_random_score_ci_low,lift_vs_random_score_ci_high,model_cluster_CI_low,model_cluster_CI_high,surface_cluster_CI_low,surface_cluster_CI_high,LOO_min,LOO_max,inferential_status,random_score_comparator_type
h0,10,77,77,221755,221755,221755,112223,109532,0.7954588501377093,0.738112382738541,0.7389852874815448,0.6591188457095584,0.5003322581329517,0.13186866471051834,0.08540405124737425,0.1767985883559325,0.29113059819388426,0.2527226638418764,0.33125288629435945,0.7519274778565107,0.8319720165643075,0.7423531714684812,0.8439906290650838,0.7776710613202442,0.8010294915353227,inferential,pipeline_deterministic
h1,10,77,385,1108466,1108466,307563,552985,555481,0.7622491663417457,0.6950553497044026,0.6832996702535258,0.5991064594463779,0.5004694929251363,0.1593878147075911,0.12593264226640263,0.1877554697408051,0.26078507513898297,0.23283335759260576,0.2890594027802068,0.73317760790308,0.7900284058777419,0.7251916404919849,0.7980784177951756,0.7510486207517091,0.7710145707779184,inferential,pipeline_deterministic
h2,10,77,770,2214129,2214129,308154,1066665,1147464,0.7398899634924342,0.667994158217482,0.6377397898697705,0.5470896865848733,0.5002862133410765,0.1916130590376118,0.16695466173244086,0.21318033988547533,0.24015540368715724,0.212318773538322,0.2719091633997528,0.7124263495496763,0.772791116572993,0.7037750090060912,0.7766954118702021,0.7301259670363627,0.7471671138337845,inferential,pipeline_deterministic
h3,10,77,770,2214769,2214769,308154,1007146,1207623,0.7820305130832524,0.7075584861148638,0.6924539006476611,0.6053902213822208,0.500368772565842,0.1754133782201341,0.14885065659075106,0.195274965198523,0.2717993980578433,0.23540375618162904,0.3083622941687476,0.7355949282031359,0.8088784975304643,0.7478372111947424,0.8164039019461028,0.7610045824588583,0.7840124168971965,inferential,pipeline_deterministic
h4,10,77,385,1106497,1106497,307566,482771,623726,0.7707067763050999,0.7062720393806611,0.7127399167977395,0.6380482862344409,0.5001838940247741,0.13012095824535,0.0956367121305899,0.16126168785193515,0.26068971547208536,0.2149787667289386,0.30304141558620445,0.7150736490323517,0.8032938306003469,0.7298582410660687,0.8107269505573822,0.7504371822598299,0.7793810001271265,inferential,pipeline_deterministic
h5,10,77,77,221926,221926,221926,98041,123885,0.8068842938370545,0.7523672693383823,0.7927441315930595,0.7220549296191222,0.4992231022099681,0.08324610789798045,0.03819340887056204,0.12620738674774049,0.31283023014206846,0.25931343962778153,0.3679146544755274,0.7582562749909263,0.8667438227858615,0.7489195936138847,0.8593379469036454,0.7966402450967044,0.8272847919897327,inferential,pipeline_deterministic
h_leq_2,10,77,1232,3544350,3544350,308154,1731873,1812477,0.7119205705974363,0.6411941831275564,0.6103706350789256,0.521171816736324,0.5000461192501594,0.18909552923303674,0.1667379756474474,0.20800851544128068,0.21631877916817732,0.191129819968782,0.2425931581193306,0.6911315187707842,0.7430374853100822,0.6757081567941485,0.7490405097581182,0.7071943121274924,0.7252317133885602,inferential,pipeline_deterministic
h_geq_3,10,77,1232,3543192,3543192,308154,1587958,1955234,0.7433445637605418,0.6682173614672484,0.655445226214034,0.5728760238986349,0.5002288096558388,0.17016905184429137,0.14390293430186482,0.19053195504787152,0.2315304327858713,0.18348164286914004,0.273952831517912,0.6835579339548044,0.7741679756395513,0.7059434629364169,0.7822497566105525,0.7210403852970563,0.7508003022124667,inferential,pipeline_deterministic
h_geq_4,10,77,462,1328423,1328423,307996,580812,747611,0.7535965908609781,0.6895963646887735,0.6962490362211741,0.6250496910891322,0.49999599557457075,0.12643226134315483,0.09184574192647499,0.15753283142079563,0.24837356279823591,0.20147969375827185,0.29460485484205534,0.7013449900527842,0.795026493058061,0.7093906864908274,0.7968481298310448,0.7364110908917764,0.7662370013613629,inferential,pipeline_deterministic
