comparator_or_control,mean_hidden_balanced_accuracy,rounded,source
Degree-1 target-query recovery (q=12),0.74693002007556464,0.747,recomputed_from_raw_built_surfaces
Majority baseline,0.52508604978354989,0.525,recomputed_from_raw_built_surfaces
Prevalence-preserving label-shuffle null,0.52255857026230845,0.523,recomputed_from_raw_built_surfaces
Random-score baseline,0.500260885345887,0.5,frozen_workbench_comparator_not_primary_null
Hamming kernel,0.622403799803222,0.622,frozen_workbench_comparator_not_primary_null
Degree-2 ridge,0.6937533773857371,0.694,frozen_workbench_comparator_not_primary_null
Same-model leave-one-surface-out prior (original),0.5434505440708715,0.543,frozen_workbench_comparator_not_primary_null
Same-model leave-one-surface-out prior (strict hidden rerun),0.5175104500931328,0.518,frozen_workbench_comparator_not_primary_null
Same-scenario other-model prior (original),0.6857432243379729,0.686,frozen_workbench_comparator_not_primary_null
Same-scenario other-model prior (strict hidden rerun),0.6883659595001562,0.688,frozen_workbench_comparator_not_primary_null
