model,endpoint,query_budget_cells,n_surfaces,n_runs,degree1_ba,majority_ba,lift_vs_majority
claude-haiku-4-5,acceptable_floor_choice,12,5,5000,0.7508008578972627,0.5141,0.2367008578972627
claude-opus-4-6,acceptable_floor_choice,12,12,12000,0.75903567259319482,0.51720833333333338,0.24182733925986144
deepseek-r1,acceptable_floor_choice,12,11,11000,0.71153876862360366,0.52995454545454546,0.1815842231690582
gemini-2.5-pro,acceptable_floor_choice,12,6,6000,0.79090437287421611,0.53200000000000003,0.25890437287421608
gemini-3-flash-preview,acceptable_floor_choice,12,7,7000,0.743216952507601,0.53478571428571431,0.20843123822188669
gpt-5-mini,acceptable_floor_choice,12,5,5000,0.67067460009847391,0.53739999999999999,0.13327460009847392
gpt-5.2,acceptable_floor_choice,12,7,7000,0.73519602819995622,0.5099285714285714,0.22526745677138482
gpt-5.4-thinking,acceptable_floor_choice,12,9,9000,0.75203326892906996,0.51583333333333337,0.2361999355957366
gpt-health,acceptable_floor_choice,12,10,10000,0.78488393725469574,0.55905000000000005,0.22583393725469569
llama-3.3-70b-instruct-turbo,acceptable_floor_choice,12,5,5000,0.77101574177757226,0.50060000000000004,0.27041574177757222
